Index;Sovereign;Name;Terrain;MP;Town;Production
C072;Kingdom of Norway;Hordaland;Coast;1;Bergen;Furs
C073;Kingdom of Norway;Iceland;Coast;1;;
C075;Mamluk Sultanate;Judea;Coast;1;Jerusalem;Salt
C076;Kingdom of Denmark;Jutland;Coast;1;;
C077;Republic of Novgorod;Ladoga;Coast;1;;
C078;Papal States;Latium;Coast;1;Rome;Wine
C079;Kingdom of England;Leinster;Coast;1;Dublin;Furs
C081;Hafsid Sultanate;Leptis Magna;Coast;1;;
C082;Republic of Genoa;Liguria;Coast;1;Genoa;Cloth
C087;Kingdom of Scotland;Lowlands;Coast;1;Edinburgh;Cloth
C088;Sultanate of Rum;Lycia;Coast;1;;
C089;Byzantine Empire;Lydia;Coast;1;;
C090;Byzantine Empire;Macedonia;Coast;1;;
C092;Mamluk Sultanate;Marmarica;Coast;1;Alexandria;Spices
C093;Marinid Sultanate;Massa;Coast;1;;
C096;Kingdom of Munster;Munster;Coast;1;;
C097;Crown of Castille;Murcia;Coast;1;;
C098;Byzantine Empire;Mysia;Coast;1;;
C100;Kingdom of France;Normandy;Coast;1;;
C101;Kingdom of Sweden;Norrland;Coast;1;;
C103;Kingdom of France;Occitania;Coast;1;;
C105;Zianide Emirate;Oran;Coast;1;;
C107;County of Tripoli;Palestine;Coast;1;;
C109;Sultanate of Rum;Paphlagonia;Coast;1;;
C110;Byzantine Empire;Peloponnese;Coast;1;;
C115;Duchy of Pomerania;Pomerania;Coast;1;;
C116;Empire of Trebizond;Pontus;Coast;1;Trebizond;Spices
C117;Kingdom of Sicily;Apulia;Coast;1;;
C118;County of Provence;Provence;Coast;1;;
C119;State of the Teutonic Order;Prussia;Coast;1;;
C120;Kingdom of Serbia;Rascia;Coast;1;;
C121;Byzantine Empire;Rhodes;Coast;1;;
C122;Marinid Sultanate;Rif;Coast;1;;
C123;Almohad Caliphate;Occidental Sahara;Coast;1;;
C124;Judicate of Arborea;Sardinia;Coast;1;;
C125;Holy Roman Empire;Saxony;Coast;1;;
C126;Kingdom of Denmark;Scania;Coast;1;;
C128;Kingdom of Sicily;Sicily;Coast;1;Palermo;Cereals
C130;Mamluk Sultanate;Sinai;Coast;1;;
C130s;Mamluk Sultanate;Southern Sinai;Coast;1;;
C134;Khanate of the Golden Horde;Pontic Steppe;Coast;1;;
C136;Kingdom of Sweden;Svealand;Coast;1;Stockholm;Metal
C137;Principality of Antioch;Syria;Coast;1;Antioch;Spices
C139;Khanate of the Golden Horde;Tartary;Coast;1;;
C141;Duchy of Athens;Thessaly;Coast;1;;
C142;Byzantine Empire;Thrace;Coast;1;Constantinople;Salt
C144;Emirate of Tangiers;Tingitanian;Coast;1;Tangiers;Slaves
C145;Commune of Florence;Tuscany;Coast;1;;
C147;Hafsid Sultanate;Tripolitania;Coast;1;;
C149;Hafsid Sultanate;Tunisia;Coast;1;Tunis;Cereals
C150;Kingdom of Ulster;Ulster;Coast;1;;
C153;Crown of Aragon;Valencian;Coast;1;;
C154;Republic of Venice;Venice;Coast;1;Venice;Salt
C155;Kingdom of Norway;Viken;Coast;1;;
C157;Kingdom of England;Wessex;Coast;1;;
C158;Kingdom of England;Yorkshire;Coast;1;;
C162;Sharifate of Mecca;Zubaydah;Coast;1;;
