Index;Dominus;Nominum;Terrenum;MP;Civitas;Productio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T035;Regnum Armenium Ciliciæ;Cilicia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T036;Chanatus Hordæ Aureæ;Circassia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T037;Respublica Genuensis;Corsica;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T038;Satus Ordinis Teutonici;Curlandia;Plana;1;Riga;Servi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T039;Respublica Veneta;Creta;Plana;1;Candia;Vinum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T040;Respublica Genuensis;Chersonesus Taurica;Plana;1;Caffa;Textum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T041;Regnum Hungariæ;Croatia;Silvæ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T042;Regnum Angliæ;Cumbria;Silvæ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T043;Sultanatus Mamalucorum;Cyrenaica;Desertum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T044;Respublica Veneta;Dalmatia;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T045;Sultanatus Hafsidarum;Girba;Desertum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T046;Secundum Imperium Bulgarorum;Scythia Minor;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T047;Chanatus Hordæ Aureæ;Donets;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T048;Regnum Portugalliæ;Regio Duri;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T049;Sultanatus Mamalucorum;Ægyptus;Desertum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T050;Regnum Angliæ;Anglia Orientalis;Plana;1;Londinium;Textum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T051;Satus Ordinis Teutonici;Estonia;Silvæ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T052;Regnum Sueciæ;Finlandia;Silvæ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T053;Regnum Franciæ;Flandria;Plana;1;Brugæ;Textum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T054;Respublica Novogardiensis;Silva Okovæ;Silvæ;2;Novogardia;Pelles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T055;Sacrum Imperium Romanum;Franconia;Silvæ;2;Colonia;Metallum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T056;Sacrum Imperium Romanum;Frisia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T057;Sultanatus Hafsidarum;Tacapæ;Desertum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T058;Corona Castellæ;Gallæcia;Silvæ;2;Compostella;Sal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T059;Principatus Galiciæ et Volhyniæ;Galicia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T060;Regnum Gwynethensis;Wallia;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T061;Regnum Scotiæ;Gallovidia;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T062;Regnum Angliæ;Vasconia;Plana;1;Burdigala;Vinum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T063;Regnum Georgiæ;Georgia;Montes;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T064;Regnum Sueciæ;Gothia;Silvæ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T065;Scychiatus Atlantis;Erg Magnus;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T066;Regnum Poloniæ;Polonia Maior;Plana;1;Gedanum;Pelles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T067;Sultanatus Marinidorum;Atlas Altus;Montes;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T068;Principatus Smolenscensis;Ruthenia Superior;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T069;Principatus Muromiensis;Rha Superior;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T070;Regnum Scotiæ;Montes Scotici;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T071;Regnum Daniæ;Holsatia;Plana;1;Lubeca;Bladum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T072;Regnum Norvegiæ;Hordalandia;Colles;2;Bergen;Pelles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T073;Regnum Norvegiæ;Islandia;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T074;Sultanatus Mamalucorum;Iordania;Desertum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T075;Sultanatus Mamalucorum;Iudæa;Desertum;1;Hyerosolyma;Sal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T076;Regnum Daniæ;Iutia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T077;Respublica Novogardiensis;Ladoga;Silvæ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T078;Status Pontificii;Latium;Colles;2;Roma;Vinum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T079;Regnum Angliæ;Lagenia;Plana;1;Dublinium;Pelles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T080;Corona Castellæ;Legio;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T081;Sultanatus Hafsidarum;Leptis Magna;Desertum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T082;Respublica Genuensis;Liguria;Colles;2;Genua;Textum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T083;Magnus Ducatus Lituaniæ;Lituania;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T084;Satus Ordinis Teutonici;Livonia;Silvæ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T085;Communia Mediolanensis;Lombardia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T086;Regnum Franciæ;Lotharingia;Silvæ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T087;Regnum Scotiæ;Campi Scotici;Colles;2;Edinburgum;Textum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T088;Sultanatus Rumi;Lycia;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T089;Imperium Byzantinum;Lydia;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T090;Imperium Byzantinum;Macedonia;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T091;Corona Castellæ;Mancha;Colles;2;Toletum;Metallum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T092;Sultanatus Mamalucorum;Marmarica;Desertum;1;Alexandria;Aromata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T093;Sultanatus Marinidorum;Massa;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T094;Chanatus Persidis;Mesopotamia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T095;Principatus Vladimirensis;Moscovia;Plana;1;Moscovia;Servi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T096;Regnum Momoniæ;Momonia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T097;Corona Castellæ;Murcia;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T098;Imperium Byzantinum;Mysia;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T099;Regnum Navarræ;Navarra;Montes;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T100;Regnum Franciæ;Normannia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T101;Regnum Sueciæ;Norrlandia;Silvæ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T102;Sultanatus Hafsidarum;Oasis Sufensis;Desertum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T103;Regnum Franciæ;Occitania;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T104;Respublica Novogardiensis;Onega;Silvæ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T105;Emiratus Zianidarum;Orania;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T106;Sacrum Imperium Romanum;Palatinatus;Silvæ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T107;Comitatus Tripoliatanus;Palæstina;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T108;Regnum Hungariæ;Pannonia;Plana;1;Buda;Servi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T109;Sultanatus Rumi;Paphlagonia;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T110;Imperium Byzantinum;Peloponnesus;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T111;Chanatus Persidis;Persia;Montes;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T112;Regnum Poloniæ;Polonia Minor;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T113;Principatus Kioviensis;Podolia;Plana;1;Kiovia;Bladum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T114;Principatus Turoviensis;Polesia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T115;Ducatus Pomeranie;Pomerania;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T116;Imperium Trebizondense;Pontus;Colles;2;Trapezuntis;Aromata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T117;Regnum Siciliæ;Apulia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T118;Comitatus Provinciæ;Provincia;Montes;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T119;Satus Ordinis Teutonici;Borussia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T120;Regnum Serbiæ;Rascia;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T121;Imperium Byzantinum;Rhodus;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T122;Sultanatus Marinidorum;Mons Rif;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T123;Caliphatus Almohadarum;Sahara Occidentalis;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T124;Iudicatus Arborensis;Sardinia;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T125;Sacrum Imperium Romanum;Saxonia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T126;Regnum Daniæ;Scania;Silvæ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T127;Principatus Czernigoviensis;Severia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T128;Regnum Siciliæ;Sicilia;Colles;2;Panormus;Bladum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T129;Ducatus Silesiæ;Silesia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T130;Sultanatus Mamalucorum;Sinai;Desertum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T131;Regnum Hungariæ;Slavonia;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T132;Regnum Hungariæ;Slovacia;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T133;Sacrum Imperium Romanum;Suevia;Montes;3;Basilea;Pelles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T134;Chanatus Hordæ Aureæ;Steppa Pontica;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T135;Regnum Bohemiæ;Styria;Montes;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T136;Regnum Sueciæ;Suealandia;Silvæ;2;Stockholmia;Metallum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T137;Principatus Antiochenus;Syria;Plana;1;Antiochia;Aromata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T138;Caliphatus Almohadarum;Tafilalet;Montes;3;Sijilmassa;Aromata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T139;Chanatus Hordæ Aureæ;Tartaria;Desertum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T140;Chanatus Hordæ Aureæ;Chuvassia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T141;Ducatus Athenarum;Thessalia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T142;Imperium Byzantinum;Thracia;Plana;1;Constantinopolis;Sal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T143;Sacrum Imperium Romanum;Thuringia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T144;Scychiatus Tangeris;Tingitana;Colles;2;Tingis;Servi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T145;Communia Florentina;Tuscia;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T146;Regnum Hungariæ;Transylvania;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T147;Sultanatus Hafsidarum;Tripolitania;Desertum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T148;Regnum Norvegiæ;Trondelagia;Montes;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T149;Sultanatus Hafsidarum;Tunisia;Desertum;1;Tunes;Bladum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T150;Regnum Ultoniæ;Ultonia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T151;Secundum Imperium Bulgarorum;Valachia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T152;Respublica Novogardiensis;Montes Valdaici;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T153;Corona Aragoniæ;Valentinus;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T154;Respublica Veneta;Venetia;Plana;1;Venetia;Sal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T155;Regnum Norvegiæ;Regio Viken;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T156;Principatus Galiciæ et Volhyniæ;Volhynia;Silvæ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T157;Regnum Angliæ;Wessexia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T158;Regnum Angliæ;Comitatus Eboracensis;Silvæ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T159;Secundum Imperium Bulgarorum;Zagoria;Colles;2;Ternova;Servi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T160;Principatus Rostoviensis;Zalessia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T161;Respublica Novogardiensis;Zavolochia;Silvæ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T162;Sharifatus Meccae;Zubaida;Desertum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D001;;Sahara;Desertum;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M001;;Pontus Euxinus;Mare;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M002;;Mare Mediterraneum orientale;Mare;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M003;;Mare Mediterraneum occidentale;Mare;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M004;;Oceanus Occidentalis;Mare;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M005;;Mare Germanicum;Mare;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M006;;Mare Balticum;Mare;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M007;;Mare Caspium;Mare;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M008;;Mare Rubrum ;Mare;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C001;Regnum Granatæ;Al-Andalus;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C002;Despotatus Epiri;Albania;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C003;Regnum Portugalliæ;Alenteium;Litus;1;Olisbona;Vinum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C004;Regnum Portugalliæ;Algarbia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C005;Sultanatus Hafsidarum;Algeria;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C006;Corona Castellæ;Andalusia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C008;Regnum Angliæ;Aquitania;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C011;Corona Castellæ;Asturia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C014;Corona Aragoniæ;Insulæ Balearicæ;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C016;Chanatus Hordæ Aureæ;Rha Inferior;Litus;1;Sarai;Aromata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C019;Chanatus Hordæ Aureæ;Bessarabia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C023;Imperium Byzantinum;Bithynia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C026;Ducatus Britanniæ;Britannia Armorica;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C027;Regnum Siciliæ;Campania;Litus;1;Neapolis;Sal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C030;Corona Castellæ;Castella;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C031;Corona Aragoniæ;Catalonia;Litus;1;Barcinona;Vinum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C032;Chanatus Persidis;Caucasus;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C034;Regnum Cypri;Cyprus;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C035;Regnum Armenium Ciliciæ;Cilicia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C036;Chanatus Hordæ Aureæ;Circassia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C037;Respublica Genuensis;Corsica;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C038;Satus Ordinis Teutonici;Curlandia;Litus;1;Riga;Servi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C039;Respublica Veneta;Creta;Litus;1;Candia;Vinum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C040;Respublica Genuensis;Chersonesus Taurica;Litus;1;Caffa;Textum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C041;Regnum Hungariæ;Croatia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C042;Regnum Angliæ;Cumbria;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C043;Sultanatus Mamalucorum;Cyrenaica;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C044;Respublica Veneta;Dalmatia;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C045;Sultanatus Hafsidarum;Girba;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C046;Secundum Imperium Bulgarorum;Scythia Minor;Litus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
