Index;Souverain;Nom;Terrain;MP;Ville;Production
T115;Duché de Poméranie;Poméranie;Plaines;1;;
T116;Empire de Trébisonde;Pont;Collines;2;Trébisonde;Épices
T117;Royaume de Sicile;Pouilles;Plaines;1;;
T118;Comté de Provence;Provence;Montagnes;3;;
T119;États Teutoniques;Prusse;Plaines;1;;
T120;Royaume de Serbie;Rascie;Collines;2;;
T121;Empire Byzantin;Rhodes;Plaines;1;;
T122;Sultanat Mérinide;Rif;Collines;2;;
T123;Califat Almohade;Sahara Occidental;Collines;2;;
T124;Judicat d'Arborée;Sardaigne;Collines;2;;
T125;Saint-Empire Germanique;Saxe;Plaines;1;;
T126;Royaume du Danemark;Scanie;Forêts;2;;
T127;Principauté de Tchernigov;Sévérie;Plaines;1;;
T128;Royaume de Sicile;Sicile;Collines;2;Palerme;Céréales
T129;Duché de Silésie;Silésie;Plaines;1;;
T130;Sultanat Mamelouk;Sinaï;Désert;1;;
T131;Royaume de Hongrie;Slavonie;Collines;2;;
T132;Royaume de Hongrie;Slovaquie;Collines;2;;
T133;Saint-Empire Germanique;Souabe;Montagnes;3;Bâle;Fourrures
T134;Khanat de la Horde d'Or;Steppe Pontique;Plaines;1;;
T135;Royaume de Bohême;Styrie;Montagnes;3;;
T136;Royaume de Suède;Svealand;Forêts;2;Stockholm;Métal
T137;Principauté d'Antioche;Syrie;Plaines;1;Antioche;Épices
T138;Califat Almohade;Tafilalet;Montagnes;3;Sijilmassa;Épices
T139;Khanat de la Horde d'Or;Tartarie;Désert;1;;
T140;Khanat de la Horde d'Or;Tchouvasquie;Plaines;1;;
T141;Duché d'Athènes;Thessalie;Plaines;1;;
T142;Empire Byzantin;Thrace;Plaines;1;Constantinople;Sel
T143;Saint-Empire Germanique;Thuringe;Plaines;1;;
T144;Cheikhat de Tanger;Tingitane;Collines;2;Tanger;Esclaves
T145;Commune de Florence;Toscane;Collines;2;;
T146;Royaume de Hongrie;Transylvanie;Collines;2;;
T147;Sultanat Hafside;Tripolitaine;Désert;1;;
T148;Royaume de Norvège;Trondelag;Montagnes;3;;
T149;Sultanat Hafside;Tunisie;Désert;1;Tunis;Céréales
T150;Royaume d'Ulster;Ulster;Plaines;1;;
T151;Second Empire Bulgare;Valachie;Plaines;1;;
T152;République de Novgorod;Valdaï;Collines;2;;
T153;Couronne d'Aragon;Valencien;Plaines;1;;
T154;République de Venise;Vénétie;Plaines;1;Venise;Sel
T155;Royaume de Norvège;Viken;Collines;2;;
T156;Principauté de Galicie-Volhynie;Volhynie;Forêts;2;;
T157;Royaume d'Angleterre;Wessex;Plaines;1;;
T158;Royaume d'Angleterre;Yorkshire;Forêts;2;;
T159;Second Empire Bulgare;Zagore;Collines;2;Ternovo;Esclaves
T160;Principauté de Rostov;Zalessie;Plaines;1;;
T161;République de Novgorod;Zavolochie;Forêts;2;;
T162;Shérifat de la Mecque;Zubeïda;Désert;1;;
D001;;Sahara;Désert;3;;
M001;;Mer Noire;Mer;3;;
M002;;Méditerranée Orientale;Mer;4;;
M003;;Méditerranée Centrale;Mer;4;;
M004;;Méditerranée Occidentale;Mer;4;;
M005;;Océan Atlantique;Mer;4;;
M006;;Mer du Nord;Mer;4;;
M007;;Mer Baltique;Mer;3;;
M008;;Mer Caspienne;Mer;3;;
M009;;Mer Rouge;Mer;3;;
C001;Royaume de Grenade;Al-Andalus;Côte;1;;
C002;Despotat d'Épire;Albanie;Côte;1;;
C003;Royaume du Portugal;Alentejo;Côte;1;Lisbonne;Vin
C004;Royaume du Portugal;Algarve;Côte;1;;
C005;Sultanat Hafside;Algérie;Côte;1;;
C006;Couronne de Castille;Andalousie;Côte;1;;
C008;Royaume d'Angleterre;Aquitaine;Côte;1;;
C011;Couronne de Castille;Asturies;Côte;1;;
C014;Couronne d'Aragon;Baléares;Côte;1;;
C016;Khanat de la Horde d'Or;Basse Volga;Côte;1;Saraï;Épices
C019;Khanat de la Horde d'Or;Bessarabie;Côte;1;;
C023;Empire Byzantin;Bithynie;Côte;1;;
C026;Duché de Bretagne;Bretagne;Côte;1;;
C027;Royaume de Sicile;Campanie;Côte;1;Naples;Sel
C030;Couronne de Castille;Castille;Côte;1;;
C031;Couronne d'Aragon;Catalogne;Côte;1;Barcelone;Vin
C032;Khanat de Perse;Caucase;Côte;1;;
C034;Royaume de Chypre;Chypre;Côte;1;;
C035;Royaume Arménien de Cilicie;Cilicie;Côte;1;;
C036;Khanat de la Horde d'Or;Circassie;Côte;1;;
C037;République de Gênes;Corse;Côte;1;;
C038;États Teutoniques;Courlande;Côte;1;Riga;Esclaves
C039;République de Venise;Crète;Côte;1;Candie;Vin
C040;République de Gênes;Crimée;Côte;1;Caffa;Tissu
C041;Royaume de Hongrie;Croatie;Côte;1;;
C042;Royaume d'Angleterre;Cumbrie;Côte;1;;
C043;Sultanat Mamelouk;Cyrénaïque;Côte;1;;
C044;République de Venise;Dalmatie;Côte;1;;
C045;Sultanat Hafside;Djerba;Côte;1;;
C046;Second Empire Bulgare;Dobroudja;Côte;1;;
C048;Royaume du Portugal;Douro;Côte;1;;
C049;Sultanat Mamelouk;Égypte;Côte;1;;
C049s;Sultanat Mamelouk;Égypte Sud;Côte;1;;
C050;Royaume d'Angleterre;Est-Anglia;Côte;1;Londres;Tissu
C051;États Teutoniques;Estonie;Côte;1;;
C052;Royaume de Suède;Finlande;Côte;1;;
C053;Royaume de France;Flandre;Côte;1;Bruges;Tissu
C056;Saint-Empire Germanique;Frise;Côte;1;;
C057;Sultanat Hafside;Gabès;Côte;1;;
C058;Couronne de Castille;Galice;Côte;1;Saint-Jacques de Compostelle;Sel
C060;Royaume de Gwynedd;Galles;Côte;1;;
C061;Royaume d'Écosse;Galloway;Côte;1;;
C062;Royaume d'Angleterre;Gascogne;Côte;1;Bordeaux;Vin
C063;Royaume de Géorgie;Géorgie;Côte;1;;
C064;Royaume de Suède;Gotaland;Côte;1;;
C066;Royaume de Pologne;Grande Pologne;Côte;1;Danzig;Fourrures
C070;Royaume d'Écosse;Highlands;Côte;1;;
C071;Royaume du Danemark;Holstein;Côte;1;Lubeck;Céréales
C072;Royaume de Norvège;Hordaland;Côte;1;Bergen;Fourrures
C073;Royaume de Norvège;Islande;Côte;1;;
C075;Sultanat Mamelouk;Judée;Côte;1;Jérusalem;Sel
C076;Royaume du Danemark;Jutland;Côte;1;;
C077;République de Novgorod;Ladoga;Côte;1;;
C078;États Pontificaux;Latium;Côte;1;Rome;Vin
C079;Royaume d'Angleterre;Leinster;Côte;1;Dublin;Fourrures
C081;Sultanat Hafside;Leptis Magna;Côte;1;;
C082;République de Gênes;Ligurie;Côte;1;Gênes;Tissu
C087;Royaume d'Écosse;Lowlands;Côte;1;Edimbourg;Tissu
C088;Sultanat de Roum;Lycie;Côte;1;;
C089;Empire Byzantin;Lydie;Côte;1;;
C090;Empire Byzantin;Macédoine;Côte;1;;
C092;Sultanat Mamelouk;Marmarique;Côte;1;Alexandrie;Épices
C093;Sultanat Mérinide;Massa;Côte;1;;
C096;Royaume de Munster;Munster;Côte;1;;
C097;Couronne de Castille;Murcie;Côte;1;;
C098;Empire Byzantin;Mysie;Côte;1;;
C100;Royaume de France;Normandie;Côte;1;;
C101;Royaume de Suède;Norrland;Côte;1;;
C103;Royaume de France;Occitanie;Côte;1;;
C105;Émirat Zianide;Oranie;Côte;1;;
C107;Comté de Tripoli;Palestine;Côte;1;;
C109;Sultanat de Roum;Paphlagonie;Côte;1;;
C110;Empire Byzantin;Péloponnèse;Côte;1;;
C115;Duché de Poméranie;Poméranie;Côte;1;;
C116;Empire de Trébisonde;Pont;Côte;1;Trébisonde;Épices
C117;Royaume de Sicile;Pouilles;Côte;1;;
C118;Comté de Provence;Provence;Côte;1;;
C119;États Teutoniques;Prusse;Côte;1;;
C120;Royaume de Serbie;Rascie;Côte;1;;
C121;Empire Byzantin;Rhodes;Côte;1;;
C122;Sultanat Mérinide;Rif;Côte;1;;
C123;Califat Almohade;Sahara Occidental;Côte;1;;
C124;Judicat d'Arborée;Sardaigne;Côte;1;;
C125;Saint-Empire Germanique;Saxe;Côte;1;;
C126;Royaume du Danemark;Scanie;Côte;1;;
C128;Royaume de Sicile;Sicile;Côte;1;Palerme;Céréales
C130;Sultanat Mamelouk;Sinaï;Côte;1;;
C130s;Sultanat Mamelouk;Sinaï-Sud;Côte;1;;
C134;Khanat de la Horde d'Or;Steppe Pontique;Côte;1;;
C136;Royaume de Suède;Svealand;Côte;1;Stockholm;Métal
C137;Principauté d'Antioche;Syrie;Côte;1;Antioche;Épices
C139;Khanat de la Horde d'Or;Tartarie;Côte;1;;
C141;Duché d'Athènes;Thessalie;Côte;1;;
C142;Empire Byzantin;Thrace;Côte;1;Constantinople;Sel
C144;Cheikhat de Tanger;Tingitane;Côte;1;Tanger;Esclaves
C145;Commune de Florence;Toscane;Côte;1;;
C147;Sultanat Hafside;Tripolitaine;Côte;1;;
C149;Sultanat Hafside;Tunisie;Côte;1;Tunis;Céréales
C150;Royaume d'Ulster;Ulster;Côte;1;;
C153;Couronne d'Aragon;Valencien;Côte;1;;
C154;République de Venise;Vénétie;Côte;1;Venise;Sel
C155;Royaume de Norvège;Viken;Côte;1;;
C157;Royaume d'Angleterre;Wessex;Côte;1;;
C158;Royaume d'Angleterre;Yorkshire;Côte;1;;
C162;Shérifat de la Mecque;Zubeïda;Côte;1;;
